update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
14,train,196.7782,0.43626732,426.44444444444446,852.8888888888889,9,0.22746339440345764,0.4549267888069153,3,2,0.15,0.33,5,5,6,5.5
15,train,140.85493,0.37157878,366.5,733.0,11,0.19133342802524567,0.38266685605049133,3,2,0.15,0.33,5,5,6,5.5
15,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
16,train,131.45088,0.39538312,324.625,649.25,12,0.20329004526138306,0.4065800905227661,3,2,0.15,0.33,5,5,6,5.5
17,train,117.788055,0.37606022,298.5,597.0,13,0.20193490386009216,0.4038698077201843,3,2,0.15,0.33,5,5,6,5.5
18,train,157.41125,0.40510514,370.09090909090907,740.1818181818181,11,0.212344229221344,0.424688458442688,3,2,0.15,0.33,5,5,6,5.5
19,train,135.2028,0.39240825,338.625,677.25,12,0.20089522004127502,0.40179044008255005,3,2,0.15,0.33,5,5,6,5.5
20,train,133.90286000569662,0.3994060661909294,328.25,656.5,12,0.20646512508392334,0.4129302501678467,3,2,0.15,0.33,5,5,6,5.5
20,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
21,train,158.64204,0.40658247,368.59090909090907,737.1818181818181,11,0.2142409235239029,0.4284818470478058,3,2,0.15,0.33,5,5,6,5.5
22,train,147.38849,0.41029117,349.54545454545456,699.0909090909091,11,0.20983074605464935,0.4196614921092987,3,2,0.15,0.33,5,5,6,5.5
23,train,146.72133,0.37759933,360.77272727272725,721.5454545454545,11,0.20362253487110138,0.40724506974220276,3,2,0.15,0.33,5,5,6,5.5
24,train,119.81134796142578,0.36475869150853707,318.1666666666667,636.3333333333334,12,0.19029897451400757,0.38059794902801514,3,2,0.15,0.33,5,5,6,5.5
25,train,168.1639,0.41561866,382.3,764.6,10,0.2217257022857666,0.4434514045715332,3,2,0.15,0.33,5,5,6,5.5
25,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
26,train,123.1461633046468,0.38306276834023856,313.9166666666667,627.8333333333334,12,0.19346939027309418,0.38693878054618835,3,2,0.15,0.33,5,5,6,5.5
27,train,179.30788,0.39447555,405.2,810.4,10,0.22264009714126587,0.44528019428253174,3,2,0.15,0.33,5,5,6,5.5
28,train,106.12851197378976,0.3681892817107479,284.67857142857144,569.3571428571429,14,0.18883965909481049,0.37767931818962097,3,2,0.15,0.33,5,5,6,5.5
29,train,118.6523907001202,0.35685209831286335,309.1923076923077,618.3846153846154,13,0.18951156735420227,0.37902313470840454,3,2,0.15,0.33,5,5,6,5.5
